systeminfo_identifier,product,feature,featureversion,binaryrating,useragent,updateddate,scaleratingmax,feedbacktext,assetalias
id:d29cb1ff-98ce-4c93-913f-10f049c676f7,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G996U Build/SP1A.210812.016),2022-03-10T14:39:20.167Z,,,Android.App
id:b65dd918-31fb-4da5-a572-bbf70a5a90be,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N981U Build/SP1A.210812.016),2022-03-10T14:52:16.150Z,,,Android.App
id:f311d2f8-c4fe-4d41-94bf-76adcf148bed,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-A326U Build/RP1A.200720.012),2022-03-10T14:38:41.406Z,,,Android.App
id:dc27711e-d17e-4cab-ae5e-6cbcb17755d7,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G991U1 Build/SP1A.210812.016),2022-03-10T13:38:50.520Z,,,Android.App
id:f4fbf917-05ef-4a67-8907-9526fd89040b,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-G991U1 Build/RP1A.200720.012),2022-03-11T15:58:34.243Z,,,Android.App
id:2bb03c7e-df1c-4680-b985-8cb2859b72cb,Microsoft Office,Word,1,FALSE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G970U Build/SP1A.210812.016),2022-03-11T15:40:47.765Z,,,Android.App
id:516e498e-1010-41e4-a954-33b42a92a16b,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G991U Build/SP1A.210812.016),2022-03-10T13:52:07.627Z,,,Android.App
id:555b6cd7-1208-4b67-93c8-72465a7be467,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 4 XL Build/SQ1A.220205.002),2022-03-11T15:21:17.243Z,,,Android.App
id:61dbe530-ab46-43eb-a0ed-b8dd4344ccc6,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G991U Build/SP1A.210812.016),2022-03-10T14:31:06.242Z,,,Android.App
id:0e986a83-3b04-49d1-aa15-6b1d033b3b56,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220205.004),2022-03-10T14:25:54.255Z,,,Android.App
id:63c29a74-19b9-4d66-981c-6e38b8df509c,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 10; LM-Q730 Build/QKQ1.200216.002),2022-03-10T14:50:14.038Z,,,Android.App
id:b93672ff-5d7c-4e59-84fe-e37c90515064,Microsoft Office,Word,1,TRUE,25.54.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-11T15:34:09.193Z,,,Android.App
id:cebe4831-7f97-4dea-8cc9-4e9478ec73d4,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N970U Build/SP1A.210812.016),2022-03-11T15:39:40.168Z,,,Android.App
id:400fd2bc-50f9-4327-befb-cf0ccac44db7,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-F916U1 Build/SP1A.210812.016),2022-03-11T15:49:50.991Z,,,Android.App
id:f4fbf917-05ef-4a67-8907-9526fd89040b,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-G991U1 Build/RP1A.200720.012),2022-03-11T15:58:25.296Z,,,Android.App
id:25e2f133-6dcb-445a-b77a-26d1928c23ed,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N981U Build/SP1A.210812.016),2022-03-10T13:52:40.304Z,,,Android.App
id:2edf6686-e1d8-44ac-bd5b-8ca54bfe6e82,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G988U Build/SP1A.210812.016),2022-03-15T13:14:20.125Z,,,Android.App
id:92803157-2247-4d6a-88aa-d711429f0511,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; moto g play (2021) Build/RZA31.Q2-146-14-1),2022-03-10T13:29:43.999Z,,,Android.App
id:6ab0b555-5e0e-4d10-bedd-2bbf7b2de665,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Build/SQ1D.220205.004),2022-03-10T13:09:26.508Z,,,Android.App
